"ref","hash"
"HEAD","e4b7a41078660a37f5e1df4b5ed82f273b369821"
"refs/heads/devel","e4b7a41078660a37f5e1df4b5ed82f273b369821"
"refs/heads/master","e4b7a41078660a37f5e1df4b5ed82f273b369821"
