"ref","hash"
"HEAD","0a8f3a9e1661864691d8848f78450a6781859898"
"refs/heads/RELEASE_3_15","9e1b2b72c72529526332309e60a8951662e96006"
"refs/heads/RELEASE_3_16","0a8f3a9e1661864691d8848f78450a6781859898"
"refs/heads/RELEASE_3_17","0a8f3a9e1661864691d8848f78450a6781859898"
"refs/heads/devel","0a8f3a9e1661864691d8848f78450a6781859898"
"refs/heads/master","0a8f3a9e1661864691d8848f78450a6781859898"
